TARIH SAAT;RAF1;RAF2;RAF3;RAF4;L_PRES;H_PRES;VACUM;SERP2;SERP4;KONDANSER
2026-01-26-13:40:48.717;9.007408;9.184617;9.165385;9.265383;-2.757042;6.969483;1.608279E-05;10.400001;10.400001;8.8
2026-01-26-13:43:48.817;9.018519;9.192308;9.176924;9.276922;-2.758225;6.955292;1.608175E-05;10.5;10.5;8.900001
2026-01-26-13:46:49.017;9.029631;9.211539;9.192307;9.280768;-2.75586;6.952927;1.608506E-05;10.5;10.5;9.0
2026-01-26-13:49:49.017;9.033334;9.215385;9.207692;9.292307;-2.754677;6.943467;1.608325E-05;10.5;10.5;9.0
2026-01-26-13:52:49.217;9.048149;9.219232;9.207692;9.3;-2.757042;6.941102;1.608249E-05;10.5;10.5;9.1
2026-01-26-13:55:49.217;9.051852;9.219232;9.226923;9.311538;-2.758225;6.936372;1.608691E-05;10.5;10.5;9.1
2026-01-26-13:58:49.417;9.066668;9.23077;9.230768;9.315385;-2.76059;6.938737;1.608105E-05;10.5;10.5;9.1
2026-01-26-14:01:49.417;9.074075;9.234616;9.25;9.330769;-2.761773;6.938737;1.608161E-05;10.5;10.5;9.1
2026-01-26-14:04:49.617;9.085185;9.23077;9.246154;9.326922;-2.75586;6.936372;1.608228E-05;10.5;10.5;9.2
2026-01-26-14:07:49.617;9.085186;9.238462;9.253846;9.338462;-2.75586;6.929276;1.608075E-05;10.5;10.5;9.2
2026-01-26-14:10:49.817;9.092592;9.234615;9.257692;9.342308;-2.762955;6.929276;1.608145E-05;10.5;10.5;9.2
2026-01-26-14:13:49.817;9.107409;9.253846;9.273077;9.346154;-2.761773;6.91272;1.608135E-05;10.5;10.5;9.3
2026-01-26-14:16:50.017;9.107409;9.257692;9.280769;9.353847;-2.758225;6.910355;1.608255E-05;10.5;10.5;9.3
2026-01-26-14:19:50.017;9.122223;9.257692;9.276923;9.357693;-2.76059;6.900895;1.608113E-05;10.6;10.6;9.3
2026-01-26-14:22:50.217;9.122223;9.269231;9.3;9.361539;-2.76059;6.891434;1.608237E-05;10.6;10.6;9.400001
2026-01-26-14:25:50.217;9.122223;9.276923;9.307693;9.35;-2.757042;6.891434;1.608127E-05;10.6;10.6;9.400001
2026-01-26-14:28:50.418;9.133334;9.299999;9.315385;9.369231;-2.758225;6.884339;1.608268E-05;10.6;10.6;9.400001
2026-01-26-14:31:50.417;9.137037;9.292308;9.31923;9.369231;-2.754677;6.877244;1.608311E-05;10.6;10.6;9.400001
2026-01-26-14:34:50.618;9.151853;9.303846;9.33077;9.376924;-2.292298;6.664384;1.608288E-05;10.6;10.6;9.0
2026-01-26-14:37:50.618;9.148149;9.311538;9.323077;9.396154;-2.292298;6.69986;1.608217E-05;10.6;10.6;8.8
2026-01-26-14:40:50.818;9.162963;9.315384;9.346155;9.4;-2.28875;6.716416;1.608275E-05;10.6;10.6;8.900001
2026-01-26-14:43:50.818;9.166667;9.311539;9.350001;9.407692;-2.287568;6.718781;1.608106E-05;10.6;10.6;9.0
2026-01-26-14:48:41.659;9.177778;9.311539;9.369231;9.415384;-2.291115;6.732972;1.608186E-05;10.6;10.6;9.1
2026-01-26-14:51:41.059;9.196297;9.319231;9.365386;9.419231;-2.28875;6.735337;1.608429E-05;10.6;10.6;9.2
2026-01-26-14:54:41.060;9.203704;9.323076;9.373077;9.426924;-2.28875;6.735337;1.608332E-05;10.6;10.6;9.2
2026-01-26-14:57:41.260;9.207408;9.311539;9.376925;9.419231;-2.28875;6.737702;1.608152E-05;10.6;10.6;9.2
2026-01-26-15:00:41.260;9.214815;9.33077;9.384617;9.423078;-2.291115;6.737702;1.608155E-05;10.6;10.6;9.2
2026-01-26-15:03:41.460;9.214815;9.338462;9.388462;9.43077;-2.28875;6.735337;1.608177E-05;10.6;10.6;9.3
2026-01-26-15:06:41.460;9.214815;9.342308;9.392308;9.434616;-2.291115;6.735337;1.607962E-05;10.6;10.6;9.3
2026-01-26-15:09:41.660;9.218519;9.338462;9.400001;9.434616;-2.291115;6.735337;1.608048E-05;10.6;10.6;9.3
2026-01-26-15:12:41.660;9.218519;9.35;9.407693;9.434616;-2.28875;6.735337;1.608254E-05;10.6;10.6;9.3
2026-01-26-15:15:41.860;9.222222;9.353848;9.407693;9.438462;-2.28875;6.721146;1.608322E-05;10.6;10.6;9.400001
2026-01-26-15:18:41.860;9.218519;9.357693;9.407693;9.442307;-2.287568;6.723511;1.608339E-05;10.6;10.6;9.400001
2026-01-26-15:21:42.060;9.233334;9.36154;9.415385;9.453845;-2.28875;6.711686;1.608281E-05;10.6;10.6;9.400001
2026-01-26-15:24:42.060;9.22963;9.365385;9.415385;9.457691;-2.28875;6.711686;1.608122E-05;10.6;10.6;9.400001
2026-01-26-15:27:42.260;9.240742;9.384615;9.419231;9.461537;-2.28875;6.706956;1.608202E-05;10.6;10.6;9.400001
2026-01-26-15:30:42.260;9.244445;9.380769;9.419231;9.465384;-2.286385;6.706956;1.608408E-05;10.6;10.6;9.5
2026-01-26-15:33:42.460;9.248148;9.388462;9.41923;9.461537;-2.291115;6.69986;1.60837E-05;10.6;10.6;9.5
2026-01-26-15:36:42.460;9.259259;9.400001;9.430769;9.473077;-2.291115;6.6904;1.60846E-05;10.6;10.6;9.5
2026-01-26-15:39:42.660;9.255555;9.400001;9.430769;9.492307;-2.28875;6.69513;1.608476E-05;10.6;10.6;9.5
2026-01-26-15:42:42.660;9.27037;9.4;9.430769;9.484615;-2.28875;6.69513;1.608106E-05;10.6;10.6;9.5
2026-01-26-15:45:42.860;9.274074;9.411539;9.434615;9.496153;-2.291115;6.6904;1.608312E-05;10.6;10.6;9.5
2026-01-26-15:48:42.860;9.274074;9.407693;9.446153;9.499999;-2.291115;6.688035;1.607952E-05;10.7;10.7;9.5
2026-01-26-15:51:43.060;9.292593;9.423077;9.446154;9.507691;-2.291115;6.683305;1.608042E-05;10.6;10.6;9.5
2026-01-26-15:54:43.060;9.296296;9.419231;9.461538;9.507691;-2.292298;6.659653;1.608289E-05;10.6;10.6;9.5
2026-01-26-15:57:43.260;9.288889;9.41923;9.457691;9.507691;-2.28875;6.650193;1.608102E-05;10.6;10.6;9.5
2026-01-26-16:00:43.260;9.299999;9.423077;9.46923;9.515385;-2.292298;6.638367;1.60842E-05;10.6;10.6;9.5
2026-01-26-16:03:43.460;9.311111;9.426924;9.465384;9.515384;-2.292298;6.624177;1.608002E-05;10.6;10.6;9.5
2026-01-26-16:06:43.461;9.307407;9.434615;9.461537;9.51923;-2.291115;6.617081;1.607994E-05;10.7;10.7;9.400001
2026-01-26-16:09:43.661;9.307407;9.434615;9.465384;9.51923;-2.28875;6.602891;1.608415E-05;10.6;10.6;9.400001
2026-01-26-16:20:06.775;9.314815;9.446153;9.476922;9.530768;-2.292298;6.567414;1.608057E-05;10.7;10.7;9.2
2026-01-26-16:23:06.175;9.314815;9.449999;9.480768;9.534616;-2.292298;6.553223;1.607807E-05;10.7;10.7;9.2
2026-01-26-16:26:06.176;9.314815;9.449999;9.492307;9.542307;-2.292298;6.536668;1.608065E-05;10.7;10.7;9.1
2026-01-26-16:29:06.376;9.318519;9.461536;9.492306;9.542307;-2.29348;6.536668;1.607954E-05;10.7;10.7;9.1
2026-01-26-16:32:06.376;9.322222;9.46923;9.496153;9.561538;-2.292298;6.69986;1.608078E-05;10.7;10.7;9.3
2026-01-26-16:35:06.577;9.333333;9.476922;9.496152;9.565385;-2.291115;6.673844;1.608087E-05;10.7;10.7;9.3
2026-01-26-16:38:06.577;9.344444;9.48846;9.496152;9.569231;-2.29348;6.659653;1.608276E-05;10.7;10.7;9.3
2026-01-26-16:41:06.777;9.337036;9.48846;9.503845;9.580769;-2.292298;6.643098;1.608176E-05;10.7;10.7;9.400001
2026-01-26-16:44:06.778;9.337037;9.496152;9.519229;9.58077;-2.294663;6.638367;1.608135E-05;10.7;10.7;9.400001
2026-01-26-16:47:06.978;9.351851;9.503844;9.519229;9.588462;-2.294663;6.626542;1.608243E-05;10.7;10.7;9.5
2026-01-26-16:50:06.978;9.366667;9.507691;9.526921;9.596154;-2.29348;6.624177;1.608256E-05;10.8;10.8;9.5
2026-01-26-16:53:07.179;9.35926;9.51923;9.534614;9.6;-2.29348;6.609986;287.4186;10.8;10.8;9.5
2026-01-26-16:56:07.179;9.374073;9.51923;9.538461;9.603847;-2.294663;6.602891;287.5458;10.8;10.8;9.5
2026-01-26-16:59:07.379;9.381481;9.51923;9.542306;9.603847;-2.294663;6.602891;287.5711;10.8;10.8;9.5
2026-01-26-17:02:07.380;9.388888;9.523076;9.534614;9.596154;-2.29348;6.602891;287.6275;10.8;10.8;9.5
2026-01-26-17:18:14.569;9.407407;9.530768;9.557692;9.619231;-2.295845;6.600526;287.6404;10.8;10.8;9.6
2026-01-26-17:21:13.969;9.407407;9.542306;9.569231;9.626924;-2.297028;6.600526;287.583;10.8;10.8;9.6
